,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1794,0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,1418,5086,0
1796,0,0,1,0,16,1,1,1,0,0,0,1,1,1,0,1,3,1084,1119,0
1797,0,0,0,0,24,1,0,0,2,2,2,2,2,2,2,0,3,321,4768,0
1798,1,0,0,0,29,1,1,0,2,2,2,2,2,2,1,0,2,419,6454,0
1801,1,0,0,0,15,1,0,2,0,0,0,0,0,0,0,1,1,1013,884,0
1802,1,0,1,1,67,0,2,1,1,1,1,0,0,0,2,0,1,524,2427,0
1803,0,0,0,0,30,0,2,1,1,1,1,1,0,1,2,1,1,727,1501,0
1804,0,0,1,1,28,1,0,0,2,2,2,2,2,2,0,0,1,346,5607,0
1805,1,0,1,1,70,1,1,1,1,1,1,0,0,0,2,0,3,921,3996,0
1806,1,0,1,1,30,1,1,0,2,2,2,2,2,2,2,0,3,398,6400,0
1808,0,0,0,0,16,1,1,2,0,1,0,0,0,0,0,1,0,1187,1162,1
1809,1,1,1,0,26,1,1,2,0,0,0,0,0,1,0,1,0,1299,2290,1
1810,0,0,1,1,69,1,1,2,1,1,1,1,0,0,1,1,3,1495,5359,0
1811,0,1,0,0,16,1,1,2,0,0,1,0,0,0,0,1,1,1191,1388,0
1815,0,0,1,0,70,1,0,0,2,2,2,2,2,2,2,0,3,343,911,0
1817,1,1,1,0,70,1,1,2,0,1,0,0,1,1,2,0,2,1553,5467,0
1818,1,0,1,1,57,1,1,2,0,0,0,0,0,0,0,0,2,1098,3780,0
1819,0,0,1,1,58,0,2,1,0,1,1,1,1,0,2,0,3,707,2824,0
1820,0,0,1,0,56,1,0,1,0,0,0,0,0,0,0,0,1,622,2809,0
1821,1,1,1,0,26,1,1,2,0,0,0,0,0,1,0,0,0,1305,2317,1
1822,0,0,0,1,25,1,1,2,0,0,0,0,1,0,0,1,3,1330,2344,1
1824,1,0,1,1,70,1,0,0,2,2,2,2,2,2,2,0,2,339,736,0
1825,0,0,0,0,26,1,1,1,0,1,0,0,0,0,0,1,0,747,1248,0
1826,1,0,1,0,62,1,1,2,0,1,0,0,0,1,0,1,0,1410,4868,0
1827,0,0,1,1,40,0,2,1,1,0,0,0,1,1,0,1,2,698,1969,0
1828,1,0,0,0,37,1,1,0,2,2,2,2,2,2,1,0,0,397,6439,0
1829,1,0,0,0,71,1,1,2,0,0,0,0,0,0,0,1,0,1108,4721,0
1830,1,0,0,1,26,1,0,0,2,2,2,2,2,2,2,0,1,343,5481,0
1831,0,1,1,0,15,1,1,1,1,1,0,1,0,0,0,1,1,904,691,0
1832,1,1,1,0,53,0,2,1,0,0,0,0,1,1,0,1,0,606,2230,1
1836,1,0,0,0,17,1,0,2,0,0,0,1,1,1,0,1,0,1512,1750,1
1838,1,1,0,0,50,1,1,2,0,1,0,0,0,1,0,1,0,1398,4183,0
1839,0,0,0,0,34,1,1,0,2,2,2,2,2,2,2,1,3,402,301,0
1840,1,0,1,1,62,1,1,2,1,0,1,1,1,1,2,0,2,163,5471,1
1841,0,0,1,0,52,1,1,0,2,2,2,2,2,2,1,0,0,382,479,0
1842,1,0,0,0,40,1,0,1,1,0,1,0,1,1,0,1,0,1130,2848,0
1843,0,0,1,1,69,1,0,0,2,2,2,2,2,2,2,0,3,327,765,0
1844,1,0,1,0,55,1,0,1,1,1,1,0,1,0,1,0,3,959,3382,0
1845,1,0,0,0,66,0,2,1,0,1,1,0,0,0,1,1,2,508,2138,0
1847,0,0,1,1,51,1,0,0,2,2,2,2,2,2,2,0,3,321,166,0
1848,0,0,0,0,32,1,0,0,2,2,2,2,2,2,1,0,1,319,5800,0
1850,0,1,1,0,42,1,1,1,1,1,1,0,0,0,0,1,3,972,2832,0
1855,1,0,1,1,41,1,0,0,2,2,2,2,2,2,2,1,1,335,6410,0
1856,0,1,0,0,32,1,0,1,1,1,0,0,0,0,0,1,3,803,1889,1
1857,0,0,1,0,62,1,0,1,1,0,1,1,0,0,2,0,3,826,3300,0
1859,1,0,0,0,48,1,0,2,0,1,0,0,0,1,0,1,0,1306,3688,1
1860,1,0,1,1,69,1,0,0,2,2,2,2,2,2,2,0,1,322,683,0
1862,0,1,0,0,48,0,2,1,0,1,1,1,1,0,0,1,0,690,2221,0
1863,1,0,1,0,56,1,1,0,2,2,2,2,2,2,1,0,1,398,1207,0
1864,0,1,1,0,19,1,0,1,0,0,1,0,0,1,1,0,1,861,1054,0
1865,1,1,0,0,43,1,1,2,0,1,0,0,1,1,1,1,0,1565,4012,0
1866,0,0,1,1,61,1,1,2,1,0,0,1,1,1,1,1,2,82,5332,0
1867,0,0,0,0,23,1,0,2,0,1,0,0,1,0,0,0,0,1274,2120,1
1869,1,0,1,1,70,1,1,0,2,2,2,2,2,2,2,0,3,378,1245,0
1871,0,0,1,1,47,1,1,2,1,1,0,0,0,1,0,1,0,1468,3864,0
1872,0,0,1,1,36,1,0,0,2,2,2,2,2,2,2,0,2,327,6036,0
1873,0,0,1,1,70,1,0,1,1,1,1,0,1,0,2,1,3,1032,4243,0
1874,0,0,1,0,38,1,1,1,1,1,0,1,1,1,2,0,3,1328,3096,0
1875,1,0,1,0,70,1,1,2,1,1,1,1,1,1,2,1,3,250,6051,0
1876,1,0,1,0,42,1,1,2,0,0,0,0,1,1,1,1,3,1496,3886,0
1877,1,0,0,0,70,1,1,1,1,1,1,1,1,1,2,0,3,1368,5130,0
1878,1,0,0,0,23,1,0,0,2,2,2,2,2,2,0,1,3,348,5316,0
1881,1,0,0,0,19,0,2,1,1,1,0,0,0,1,0,1,2,602,295,0
1882,1,0,1,1,22,1,0,1,1,0,0,0,0,1,0,1,1,851,1386,0
1883,0,1,1,0,29,1,1,2,1,1,0,1,1,0,0,1,2,10,3159,1
1884,1,0,0,0,20,1,0,1,1,1,0,0,0,0,1,0,2,772,876,0
1885,1,0,1,1,17,1,0,1,1,1,0,1,0,1,0,1,3,1025,1204,0
1886,1,0,1,1,64,1,0,1,1,0,1,1,0,0,2,1,2,855,3379,0
1888,0,0,0,0,16,1,0,1,0,1,1,0,0,0,1,0,2,779,595,0
1892,1,1,0,0,34,0,2,1,0,1,0,0,1,1,0,1,3,699,1693,0
1894,0,0,1,0,41,0,2,1,0,0,0,0,1,1,0,1,0,588,1634,0
1895,1,0,0,1,65,1,1,1,1,1,0,1,1,1,2,1,2,1329,4827,0
1896,1,0,0,0,32,1,1,1,1,1,1,1,0,0,0,0,0,1018,2307,0
1897,1,1,1,0,24,1,0,1,0,1,0,0,0,0,0,1,2,688,951,1
1898,0,1,0,0,45,1,0,2,0,0,0,0,0,1,0,0,0,1183,3246,1
1900,1,0,1,1,34,1,0,0,2,2,2,2,2,2,2,0,1,331,5825,0
1902,1,0,1,1,70,1,1,1,1,1,1,1,1,1,2,1,3,1409,5182,0
1903,1,0,0,0,23,1,0,2,0,0,0,0,1,1,0,1,0,1436,2313,0
1904,1,0,0,0,52,1,1,2,0,1,0,1,0,1,0,1,0,1481,4314,1
1905,0,0,0,0,36,1,1,0,2,2,2,2,2,2,1,1,1,393,6471,0
1906,1,0,0,0,35,0,2,1,0,1,0,1,0,0,1,0,3,511,692,0
1907,0,0,0,0,67,1,0,1,1,1,0,1,1,1,0,1,0,1174,4711,0
1908,1,0,0,0,66,1,0,0,2,2,2,2,2,2,2,0,3,332,728,0
1909,1,0,1,1,67,1,0,0,2,2,2,2,2,2,1,0,1,346,902,0
1910,0,0,1,1,45,0,2,1,0,1,0,0,0,0,0,1,0,458,1153,0
1911,0,0,1,1,70,1,1,2,1,1,1,1,1,0,2,0,3,116,5850,0
1912,1,0,1,1,39,1,0,0,2,2,2,2,2,2,1,1,2,343,6251,0
1913,0,0,0,0,62,1,1,2,0,1,1,0,1,0,1,1,0,1502,5022,0
1914,0,0,0,0,23,1,1,1,0,0,0,1,1,0,0,0,0,924,1249,0
1915,1,0,0,0,17,1,0,1,0,0,0,1,0,0,0,1,3,702,495,0
1916,0,0,0,0,39,1,1,2,0,1,1,0,0,0,0,1,2,1295,3304,1
1917,0,1,1,0,70,1,1,1,1,1,1,1,1,1,2,0,3,1379,5129,0
1918,1,0,0,0,17,1,0,1,1,0,0,1,0,0,0,0,0,762,635,0
1920,1,0,1,0,15,1,0,0,2,2,2,2,2,2,0,1,2,342,3988,0
1921,1,0,1,1,68,1,1,1,0,1,1,1,1,1,2,1,3,1318,4869,0
1922,1,0,1,1,18,1,1,1,0,0,0,0,1,0,0,0,0,854,740,0
1923,1,0,1,1,31,1,0,0,2,2,2,2,2,2,2,0,2,329,5646,0
1924,0,1,1,1,15,1,1,2,0,0,0,0,1,0,0,0,2,1306,1569,0
1925,0,0,1,1,55,1,1,1,0,0,1,1,1,0,2,1,2,1059,3587,0
1926,1,0,1,1,44,1,1,2,0,0,1,0,1,1,0,1,0,1581,4119,1
1927,1,0,1,1,42,1,1,2,0,0,1,1,1,1,0,1,2,139,4308,1
1928,0,0,1,1,25,1,0,0,2,2,2,2,2,2,0,1,1,324,5251,1
1930,1,0,0,0,23,1,0,0,2,2,2,2,2,2,0,1,0,343,5826,0
1931,0,0,1,0,49,1,1,2,0,1,1,1,1,1,1,1,2,220,4787,0
1933,1,0,0,0,13,1,0,0,2,2,2,2,2,2,1,1,1,327,3548,0
1934,0,0,0,0,23,1,0,2,1,1,0,0,0,0,0,1,0,1186,2109,1
1935,0,0,0,0,47,1,0,0,2,2,2,2,2,2,1,1,2,330,6524,0
1936,0,0,1,0,47,1,0,1,1,1,0,1,0,0,1,1,2,857,2734,0
1940,1,0,0,0,60,1,1,1,1,1,1,1,0,0,1,0,0,1048,3892,0
1941,1,0,0,0,23,1,0,1,0,0,0,0,0,1,0,0,1,756,1467,0
1942,1,0,0,0,41,1,0,0,2,2,2,2,2,2,2,0,3,317,6339,0
1944,1,0,0,1,71,0,2,1,0,0,0,0,0,0,0,0,1,406,1766,1
1945,0,0,1,1,69,1,0,0,2,2,2,2,2,2,2,0,2,343,909,0
1946,1,0,1,1,51,1,1,2,0,0,1,0,1,0,0,1,3,1405,4299,0
1947,0,0,0,0,68,1,1,2,0,1,1,1,0,0,1,1,2,1402,5149,0
1949,1,0,1,1,64,1,1,2,1,0,0,1,1,1,2,0,2,86,5430,0
1950,1,0,1,0,62,1,1,2,0,1,0,0,1,0,0,1,2,1434,4872,1
1952,0,0,1,1,13,1,1,2,0,0,1,1,0,1,0,1,2,1502,1519,0
1955,0,0,1,1,44,1,1,2,0,0,0,0,1,1,0,1,2,1500,3915,0
1956,0,0,0,0,70,1,1,2,1,1,1,0,1,0,2,1,2,25,5647,0
1957,0,0,1,0,41,1,1,1,1,0,0,0,0,0,0,0,0,727,2106,0
1958,1,0,0,0,17,1,1,2,0,1,1,0,0,0,0,1,2,1296,1679,0
1959,0,0,1,1,45,0,2,1,0,1,0,1,0,0,0,0,0,482,1102,0
1960,0,0,1,1,27,1,1,2,0,1,1,1,0,0,0,0,3,1369,2492,0
1961,0,0,0,0,37,1,1,1,1,1,0,0,0,0,1,1,2,850,2068,0
1962,1,0,0,0,16,1,0,2,1,0,1,0,1,1,1,1,3,1584,1935,0
1963,1,0,0,0,71,1,0,2,0,0,0,0,0,0,0,0,2,1033,4592,0
1964,1,0,0,0,63,1,0,1,1,1,0,0,0,0,1,1,1,759,2999,0
1965,1,0,0,0,17,1,0,1,1,0,0,0,0,0,0,1,2,671,385,1
1966,1,1,0,0,17,1,1,1,0,1,0,0,0,0,0,0,3,759,531,0
1967,1,0,0,0,66,1,1,1,1,1,1,1,0,1,1,1,3,1176,4468,1
1968,0,0,0,0,49,1,0,2,0,1,1,0,1,1,1,1,1,6,4360,0
1969,0,0,0,0,57,0,2,1,1,0,1,0,1,1,2,0,0,735,2814,0
1970,0,0,1,0,67,1,0,2,0,0,0,0,1,0,0,1,0,1226,4753,1
1971,0,0,0,0,13,1,0,0,2,2,2,2,2,2,1,1,3,320,3684,0
1972,0,0,1,1,16,1,1,2,0,0,0,0,0,1,0,0,0,1311,1440,0
1973,1,0,1,1,70,1,0,1,1,0,1,1,1,1,2,1,0,1220,4727,0
1975,1,0,0,0,14,1,0,0,2,2,2,2,2,2,2,0,1,325,3343,0
1977,1,1,0,0,25,1,1,2,0,1,0,0,1,0,0,1,0,1411,2459,0
1978,0,0,0,0,53,1,0,1,0,1,1,1,1,0,2,0,1,1014,3335,0
1979,0,0,1,1,40,1,0,0,2,2,2,2,2,2,2,1,2,333,6288,0
1981,0,0,1,0,54,1,1,2,0,0,1,1,1,1,0,1,3,40,4829,1
1983,1,0,1,0,20,1,1,1,1,0,0,1,1,1,1,0,1,1221,1837,0
1986,0,0,1,1,66,1,1,2,0,1,0,1,0,1,2,1,2,1458,5158,0
1987,0,0,1,1,18,1,0,2,0,1,1,0,1,0,0,1,2,1380,1891,1
1988,1,1,1,0,54,1,1,2,1,1,1,0,1,1,1,1,0,166,5079,1
1989,0,0,1,1,29,0,2,1,1,0,0,1,1,0,2,1,3,635,1146,0
1991,1,0,1,1,40,1,1,1,0,1,1,0,1,1,1,0,3,1179,3119,0
1994,1,0,0,0,15,1,0,0,2,2,2,2,2,2,1,0,1,325,3602,0
1996,1,0,1,1,64,1,0,1,1,0,1,1,0,1,2,0,1,979,3924,0
1997,0,0,1,1,64,1,1,2,0,0,1,1,1,1,2,1,2,107,5327,0
1999,1,0,0,0,16,1,1,2,0,0,0,0,0,0,0,1,0,1110,1211,1
2000,0,1,0,0,72,1,0,2,0,0,1,0,0,0,0,0,3,1121,5136,0
2001,0,0,0,0,45,1,0,0,2,2,2,2,2,2,0,0,1,336,317,0
2002,1,0,0,0,50,0,2,1,1,0,0,1,1,0,2,0,3,613,2114,0
2003,0,0,0,0,53,1,0,2,0,0,1,0,1,1,2,1,0,1497,4539,1
2004,1,0,0,0,17,1,1,2,0,0,1,0,1,0,0,1,1,1394,1779,1
2005,0,0,1,1,44,1,1,2,0,1,0,0,1,1,1,0,1,9,4189,1
2006,1,0,0,0,45,1,1,1,0,0,0,0,0,0,0,0,0,639,1861,1
2008,0,0,0,1,34,1,1,2,0,0,1,1,0,0,0,1,1,1341,2953,1
2009,1,0,1,1,68,1,1,1,1,1,1,1,1,0,2,1,2,1189,4736,0
2010,1,0,0,0,45,1,1,2,0,0,0,0,0,0,0,1,2,1129,3094,1
2011,1,0,1,1,49,1,1,1,1,0,1,1,1,1,0,0,0,1313,3920,0
2012,0,0,1,0,42,1,1,2,1,1,1,0,1,0,0,1,0,1561,3859,1
2013,0,0,0,1,25,1,0,0,2,2,2,2,2,2,1,0,3,335,4831,0
2015,0,0,1,1,21,1,1,1,0,0,0,0,0,0,0,0,1,678,751,0
2017,1,0,1,0,32,1,0,0,2,2,2,2,2,2,2,0,2,341,5742,0
2019,1,0,1,0,64,1,1,2,0,1,1,0,1,1,1,0,0,76,5541,1
2020,1,0,1,0,48,1,0,1,1,1,0,0,1,1,1,1,1,1119,3305,0
2021,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,153,5393,0
2023,0,1,1,0,45,1,1,2,0,1,0,0,0,0,0,1,0,1224,3200,1
2025,0,0,1,1,70,1,1,2,1,1,1,1,1,1,2,1,2,290,6202,0
2026,1,1,0,0,69,1,1,2,0,1,0,1,1,1,1,0,2,109,5705,0
2027,0,0,1,0,17,1,0,0,2,2,2,2,2,2,1,0,1,336,3885,0
2029,1,0,1,0,64,1,0,2,1,1,0,0,0,1,1,1,3,1409,4951,1
2031,0,0,1,1,45,0,2,1,0,0,0,0,0,0,0,0,1,397,455,0
2034,1,0,1,1,36,1,0,1,1,1,1,0,0,0,1,1,2,853,2171,0
2035,0,0,0,1,38,1,0,1,1,1,0,0,0,1,0,1,0,911,2380,0
2038,0,0,1,1,19,1,0,2,0,0,0,0,1,1,0,1,0,1413,1998,1
2039,1,0,0,0,15,1,1,2,0,1,0,0,0,0,0,1,0,1191,1238,1
2040,1,0,1,0,69,1,1,1,1,1,1,1,1,1,2,0,2,1408,5161,0
2041,1,0,0,0,67,1,0,0,2,2,2,2,2,2,2,0,1,322,1127,0
2042,0,1,0,0,21,1,1,1,0,1,1,1,0,0,0,0,2,921,1438,0
2044,1,0,0,0,67,1,0,0,2,2,2,2,2,2,1,0,1,323,513,0
2045,0,0,0,0,66,1,1,2,0,1,1,1,1,1,2,1,2,197,5749,0
2047,1,0,0,0,23,1,0,1,1,0,1,0,1,1,0,1,0,1155,1685,0
2048,1,1,0,0,14,1,0,2,0,0,1,0,1,1,0,1,2,1527,1663,1
2049,0,0,1,0,66,1,1,2,0,1,1,0,0,0,0,1,2,1307,4820,0
2050,0,0,1,0,69,0,2,1,1,1,1,1,0,0,2,1,2,641,2931,0
2051,0,0,1,1,66,1,0,0,2,2,2,2,2,2,2,0,1,321,631,0
2052,0,0,0,0,43,1,1,2,0,0,1,1,1,1,0,1,0,71,4190,0
2053,1,0,1,0,42,1,1,2,0,1,1,0,0,0,0,1,2,1266,3476,1
2055,1,0,0,0,40,1,1,2,1,0,1,1,1,1,0,1,3,159,4200,0
2056,1,0,0,0,47,1,1,2,0,1,0,0,0,0,0,0,2,1224,3485,0
2057,0,0,1,0,15,1,1,1,1,0,0,1,1,1,0,1,0,1188,1260,1
2058,1,0,0,0,70,1,1,1,1,1,1,1,1,1,2,0,2,1332,5055,0
2059,1,0,1,1,31,1,1,2,0,1,1,0,1,0,0,1,0,1452,2959,0
2060,1,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,0,1404,5111,0
2061,1,0,1,1,67,1,0,1,0,0,1,0,0,0,0,0,0,654,2945,1
2062,0,0,0,0,63,1,1,0,2,2,2,2,2,2,2,1,3,399,1178,0
2063,1,0,1,1,47,1,0,1,1,0,0,1,1,1,1,1,2,1139,3390,0
2064,0,0,1,1,24,1,0,0,2,2,2,2,2,2,1,0,2,324,4969,0
2065,0,0,0,0,28,1,1,2,0,0,0,0,1,0,0,0,0,1306,2500,0
2066,1,0,1,1,61,1,1,0,2,2,2,2,2,2,2,1,1,392,932,0
2067,1,1,1,0,62,1,1,2,0,1,1,0,1,1,1,1,2,58,5374,0
2068,1,0,0,0,42,1,1,2,1,1,0,1,1,0,0,0,1,15,3948,0
2070,0,0,0,0,44,1,1,1,1,1,0,0,0,0,0,1,3,842,2537,1
2071,0,0,1,1,64,1,1,2,0,1,0,1,1,0,2,0,3,1474,5097,0
2072,1,0,0,1,33,1,0,0,2,2,2,2,2,2,1,0,2,320,5904,0
2074,0,1,0,0,38,1,0,2,1,1,0,1,1,1,0,1,3,153,3911,1
2075,1,1,0,0,52,1,1,2,0,0,1,0,1,1,0,1,0,21,4629,0
2079,1,0,1,1,68,1,1,2,1,1,0,0,1,1,0,1,0,115,5804,0
2080,1,1,1,0,70,1,1,1,1,1,1,0,1,1,2,1,3,1281,4900,0
2081,0,0,1,1,16,1,0,2,0,0,1,0,0,0,0,1,3,1117,1202,0
2082,1,0,0,1,14,1,1,0,2,2,2,2,2,2,0,0,1,390,3949,0
2085,0,1,1,0,26,1,1,2,0,0,0,0,1,1,0,1,0,1456,2534,1
2087,0,0,0,0,34,0,2,1,1,1,0,0,0,0,0,1,0,475,667,1
2088,0,0,0,0,30,1,1,1,0,0,1,0,0,0,1,0,0,779,1546,0
2089,0,0,0,0,46,0,2,1,0,1,1,1,0,0,2,0,3,542,1535,0
2090,0,0,1,1,43,0,2,1,0,0,0,1,0,0,0,1,3,440,777,0
2091,0,0,0,1,46,1,0,0,2,2,2,2,2,2,2,0,3,336,6487,0
2092,1,0,1,0,70,1,1,1,1,1,1,1,0,1,2,0,3,1195,4790,0
2097,1,0,0,0,72,1,0,2,0,0,1,0,1,1,0,1,0,1473,6069,0
2099,0,0,1,0,35,1,1,2,0,0,0,1,0,0,0,1,3,1181,2717,0
2100,1,0,1,0,66,1,1,2,0,0,1,0,1,1,1,0,2,1575,5405,0
2101,0,0,1,0,31,1,1,2,1,0,1,1,0,1,1,1,0,1569,3225,1
2104,0,0,1,0,71,1,1,2,0,0,0,0,0,1,0,1,3,1303,5074,1
2105,0,0,0,0,23,1,1,2,0,0,0,0,0,0,0,0,0,1116,2063,1
2106,1,0,1,1,51,1,0,1,1,0,0,0,0,1,1,0,3,836,2740,0
2107,1,0,1,0,27,1,1,2,0,1,1,0,0,1,0,1,0,1459,2689,0
2108,0,0,0,0,41,1,0,1,0,0,0,0,0,0,0,0,2,608,1781,0
2109,1,0,0,0,28,1,1,0,2,2,2,2,2,2,2,0,2,418,6502,0
2110,0,0,0,0,23,1,0,0,2,2,2,2,2,2,0,0,0,337,5207,0
2111,1,0,1,1,24,1,0,0,2,2,2,2,2,2,2,0,1,358,5578,0
2112,0,0,0,0,27,1,1,1,1,0,0,1,0,0,1,0,0,835,1556,0
2113,1,0,1,1,40,1,1,2,0,1,1,0,0,1,1,1,3,1492,3709,0
2114,1,0,0,0,35,1,0,1,1,1,0,1,0,0,0,1,1,883,2291,0
2115,0,0,0,0,69,1,1,2,1,1,1,1,1,1,2,1,0,302,6201,0
2117,0,0,1,1,70,0,2,1,1,1,1,1,1,1,2,0,2,921,3855,0
2118,0,0,1,1,15,1,0,2,0,0,0,0,0,1,0,1,0,1207,1331,0
2119,1,0,1,1,41,1,0,0,2,2,2,2,2,2,1,1,2,337,6192,0
2120,0,0,1,1,51,1,0,0,2,2,2,2,2,2,2,0,1,353,384,0
2123,1,0,0,0,25,1,1,2,0,1,0,0,0,0,0,1,0,1213,2077,0
2124,1,0,1,0,45,0,2,1,0,0,0,0,0,0,0,1,0,395,4,1
2125,0,0,1,1,64,1,1,1,1,0,0,0,1,1,2,1,0,1121,4379,0
2127,1,0,1,0,35,0,2,1,1,1,1,0,0,0,1,1,0,571,1221,1
2128,1,0,1,1,36,1,1,1,1,1,1,0,1,0,0,1,3,1102,2626,0
2130,1,0,0,0,47,1,1,2,1,1,0,0,1,0,1,1,0,1488,4083,1
2131,1,0,1,1,37,0,2,1,1,0,1,1,1,0,2,0,3,645,1666,0
2132,1,0,1,1,16,1,0,0,2,2,2,2,2,2,1,0,1,326,3704,0
2135,0,0,0,0,52,1,1,2,1,1,0,0,1,1,0,1,3,126,4835,0
2138,0,0,1,1,50,1,0,1,1,0,1,1,0,1,2,0,2,1018,3313,0
2139,0,0,0,0,67,1,0,1,0,0,0,0,1,1,0,1,0,966,3895,0
2140,0,0,1,1,27,1,1,2,0,0,0,0,0,1,0,0,3,1322,2385,1
2142,0,0,0,1,14,1,0,1,1,0,1,0,0,1,1,0,1,929,610,0
2143,1,1,1,0,24,1,1,1,0,0,1,0,1,1,2,0,0,1108,1797,0
2144,1,0,0,0,23,1,0,1,0,0,0,1,0,0,0,1,1,690,867,0
2146,0,0,0,0,59,1,1,2,1,1,1,1,1,1,1,1,3,265,5597,0
2148,1,0,0,1,56,1,0,0,2,2,2,2,2,2,0,0,1,324,513,0
2149,0,0,0,0,41,1,1,2,0,0,1,0,1,1,1,1,0,22,3956,0
2150,1,0,0,0,14,1,1,2,0,0,0,0,0,1,0,1,0,1281,1246,0
2151,1,0,0,0,65,1,1,0,2,2,2,2,2,2,2,1,2,379,901,0
2153,0,0,1,0,18,1,0,2,0,0,1,0,0,0,0,1,0,1103,1338,0
2154,0,0,0,1,17,1,0,0,2,2,2,2,2,2,2,0,1,328,4211,0
2155,0,0,1,0,24,1,1,2,0,0,0,0,0,1,0,1,0,1299,2271,1
2157,1,0,1,0,47,1,1,2,0,1,1,0,1,1,1,1,2,130,4557,0
2158,0,0,1,1,53,1,1,1,1,0,1,1,1,1,2,1,0,1289,4086,0
2160,0,0,1,1,70,1,0,1,1,1,1,1,1,1,2,1,2,1273,4980,0
2162,1,0,1,0,21,1,1,2,0,1,1,0,1,0,0,0,3,1523,2335,0
2163,1,1,1,0,22,1,1,2,0,0,1,0,1,1,0,1,0,1556,2601,1
2164,1,0,1,1,68,1,0,2,1,1,1,1,1,0,2,1,3,22,5498,0
2166,0,1,1,0,55,1,1,2,1,1,1,1,0,0,1,1,0,1473,4550,0
2168,1,1,1,0,67,1,1,2,0,0,0,0,0,0,0,1,1,1099,4411,1
2169,0,0,1,0,59,1,0,1,1,0,1,1,1,1,2,0,1,1224,4217,0
2170,0,0,0,0,14,1,0,1,1,0,1,1,0,0,1,1,0,852,470,0
2173,1,0,0,0,34,1,0,2,0,0,1,0,0,1,0,0,0,1320,2672,0
2175,0,0,0,0,24,1,0,2,0,0,0,1,1,0,0,0,0,1302,2214,1
2176,1,0,1,1,64,1,0,0,2,2,2,2,2,2,2,1,3,321,517,0
2177,1,1,1,0,70,1,1,2,1,1,1,0,0,1,2,1,3,49,5802,0
2178,1,0,1,0,49,1,0,0,2,2,2,2,2,2,2,0,3,331,212,0
2179,0,0,0,0,45,1,0,0,2,2,2,2,2,2,1,0,0,324,6510,0
2180,1,1,1,0,69,1,0,2,0,1,1,1,0,1,2,1,3,1502,5323,0
2181,0,0,1,1,46,1,1,1,0,1,1,1,1,1,1,1,3,1282,3560,0
2182,1,0,1,1,52,1,1,2,0,0,1,1,1,1,2,1,0,59,4825,0
2185,1,0,1,1,17,1,1,1,1,0,0,0,0,0,0,0,0,758,614,1
2186,1,0,1,1,41,1,0,0,2,2,2,2,2,2,2,0,3,332,6245,0
2187,1,0,1,0,69,1,1,2,1,1,1,1,1,1,2,1,0,281,6232,0
2188,0,0,0,0,22,0,2,1,0,0,0,1,0,0,0,1,0,467,6380,0
2189,1,0,1,1,66,1,1,0,2,2,2,2,2,2,2,0,2,385,1222,0
2190,1,0,1,0,69,1,1,1,0,1,1,1,1,1,2,0,3,1283,4880,0
2192,1,1,1,0,52,1,0,1,1,1,1,1,1,1,2,1,2,1312,4076,0
2193,1,0,0,1,52,1,0,0,2,2,2,2,2,2,1,1,1,357,437,0
2195,0,0,1,0,21,1,1,0,2,2,2,2,2,2,1,0,1,407,5329,0
2197,1,0,1,0,63,1,1,1,0,0,0,1,0,1,0,0,0,909,3635,0
2199,1,0,1,1,48,1,1,0,2,2,2,2,2,2,2,0,1,411,630,0
2201,0,0,0,0,30,1,0,1,1,1,1,1,1,1,1,0,2,1316,2600,0
2202,1,1,1,0,67,1,0,2,0,0,0,0,0,0,0,1,1,1021,3951,1
2203,1,0,1,1,70,1,1,2,1,1,1,1,0,1,1,1,3,92,5790,0
2204,1,0,1,1,64,1,1,2,1,1,1,0,1,1,1,1,0,211,5762,1
2205,1,1,0,0,28,1,0,2,0,1,1,0,1,1,1,1,0,1582,2901,0
2206,1,1,1,0,53,1,1,2,0,1,1,0,0,1,0,1,2,1497,4507,1
2207,0,0,1,0,67,1,0,2,0,0,1,0,1,0,0,1,0,1324,4821,1
2209,1,0,1,0,71,1,0,0,2,2,2,2,2,2,0,1,2,324,1066,0
2210,0,0,0,0,66,1,1,2,0,0,1,1,1,1,2,0,0,74,5532,0
2211,0,0,1,0,46,1,1,2,1,0,1,0,1,1,1,1,1,82,4386,0
2215,0,0,1,0,68,0,2,1,1,0,1,1,0,1,2,1,2,677,2926,0
2216,0,1,0,0,61,1,1,2,1,0,1,1,1,1,0,1,2,168,5581,0
2217,0,0,1,1,63,1,1,1,1,1,1,1,1,1,2,0,3,1395,4882,0
2218,0,0,1,1,69,1,0,1,1,0,1,1,1,1,2,1,3,1244,4909,0
2219,1,1,0,0,13,1,0,2,0,0,0,0,1,1,0,0,0,1396,1124,0
2220,1,0,1,0,70,1,0,1,1,1,0,1,1,1,2,1,2,1191,4750,0
2221,0,0,1,1,69,1,0,1,1,1,1,1,0,0,2,0,3,913,3807,0
2222,1,0,1,1,32,1,1,2,0,0,1,0,1,1,0,1,3,23,3381,0
